,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
16,Banco do Nordeste,ChIJlSkqkvn_sgcRN_uaKdtMDSM,-5.812503099999999,-35.210102899999995,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 96, 75, 85, 100, 74, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 76, 81, 77, 64, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 92, 65, 59, 67, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 87, 81, 72, 77, 71, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 100, 97, 92, 92, 74, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,Caixa Econômica Federal,ChIJm8KXwxMAswcRXxXuoUD4H_0,-5.788742500000001,-35.19876370000001,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 100, 79, 71, 72, 62, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 86, 78, 70, 67, 59, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 72, 64, 58, 56, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 84, 81, 79, 80, 72, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 82, 74, 77, 82, 73, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Bradesco,ChIJb4aAbC7_sgcRL6yaqmB7zp8,-5.851357200000002,-35.2049776,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 81, 68, 77, 100, 77, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 95, 77, 81, 77, 45, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 100, 81, 59, 59, 59, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 86, 63, 45, 50, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 77, 54, 40, 59, 77, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,Nordeste Fomento Mercantil LTDA,ChIJs6mfER0AswcRNf9voKI2QKQ,-5.834062699999999,-35.21375099999999,bank,,,,,,,
20,Bradesco,ChIJHSRA1kSqswcRkeWNG80WmTI,-5.7578323,-35.24722250000001,bank,,,,,,,
21,UP Brasil - Natal,ChIJs1jFvfH_sgcRc8NGj8wtpac,-5.833174199999998,-35.2142987,bank,,,,,,,
22,Próspera,ChIJZzjMVqiqswcRf-QUeerJU0o,-5.797473,-35.21710079999999,bank,,,,,,,
23,Loja Bem Promotora Natal,ChIJ6zKdlAwAswcR4rQJ5GDaUgQ,-5.784613999999999,-35.205264,bank,,,,,,,
24,Banco do Brasil S/A,ChIJQ7pBkHMAswcR0hjpbxhTZek,-5.793623200000001,-35.2059974,bank,,,,,,,
25,Bank of Brazil,ChIJWY7j54H_sgcRtPb71E0sXsc,-5.853566499999999,-35.211670500000004,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 93, 84, 67, 81, 91, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 69, 52, 50, 66, 63, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 64, 62, 60, 69, 61, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 79, 65, 58, 77, 78, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 86, 84, 88, 100, 96, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,Bradesco Dia&Noite,ChIJG47I2jBSsgcRrbYdBZqtz08,-5.858889299999999,-35.3469424,bank,,,,,,,
27,Santander,ChIJfzKWPBMAswcRkI31NMhKMI0,-5.7878631999999985,-35.2000908,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 87, 87, 80, 71, 61, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 73, 65, 65, 68, 60, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 75, 75, 75, 71, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 63, 65, 75, 83, 69, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 64, 70, 86, 100, 87, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,Banco do Brasil,ChIJpUXvpRAAswcRiuH4zByJTZM,-5.792587699999999,-35.1991895,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 94, 86, 83, 88, 79, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 86, 71, 71, 88, 79, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 78, 69, 66, 74, 70, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 91, 79, 77, 88, 83, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 100, 92, 87, 97, 95, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,Cef,ChIJA2HThfdVsgcRljyLHdWTj4A,-5.813187199999999,-35.203320399999996,bank,,,,,,,
30,Santander,ChIJNwZfNe1VsgcRCcumcV-WDZk,-5.8098947,-35.209301399999994,bank,,,,,,,
31,BNB,ChIJpTlDfIv_sgcRYYJ1bppuvo4,-5.823745300000001,-35.21224960000001,bank,,,,,,,
32,Shake Mate,ChIJGxHBcw0AswcRrgBaI4Q_dMU,-5.789573000000001,-35.204958000000005,bank,,,,,,,
33,Banco do Brasil Agência Jaguarari,ChIJYw16cQIAswcRxYjT5Y3EJGY,-5.804796,-35.21360499999999,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 89, 63, 58, 81, 84, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 86, 73, 63, 67, 65, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 73, 59, 56, 68, 66, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 91, 73, 72, 89, 83, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 100, 89, 84, 90, 80, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,Banco24Horas,ChIJEYdIxhxVsgcRXii0ZGl6PuQ,-5.827703,-35.254894,bank,,,,,,,
35,Banco24Horas,ChIJi7HTrBpVsgcRkRdbBsZ9Jg8,-5.828735500000001,-35.2483363,bank,,,,,,,
36,Prime Corban Mossoro,ChIJlWo0SBZVsgcR849r6V0zuXQ,-5.821414000000001,-35.244534,bank,,,,,,,
37,Banco do Brasil do DETRAN,ChIJJ3EdUBFVsgcRLORKzYU09-M,-5.825292000000001,-35.24300139999999,bank,,,,,,,
38,Essência ronildo,ChIJ9TrXTDhVsgcRWUtem01va90,-5.8132769,-35.2395359,bank,,,,,,,
39,Banco do Nordeste,ChIJn2PLfw-rswcRflPGkIfWS9M,-5.7720888,-35.2698898,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 84, 77, 95, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 54, 60, 54, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 59, 52, 44, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 70, 56, 70, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 99, 92, 64, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,Bank of Brazil,ChIJNZF4swWrswcRm-f_deF13lc,-5.7729063,-35.263296600000004,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 100, 87, 68, 56, 43, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 75, 50, 31, 37, 43, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 68, 56, 68, 81, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 81, 81, 68, 75, 68, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 75, 56, 43, 50, 43, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,Banco do Brasil,ChIJNae2m2VVsgcRh7QrkHrJFCo,-5.827166999999998,-35.2245713,bank,,,,,,,
42,Banco do Brasil,ChIJ18tkRGZVsgcRhzwn83IRlvk,-5.8247459,-35.224031700000005,bank,,,,,,,
43,Caixa Econômica Federal (CEF) - Ag. Potengi,ChIJkZFmLlGqswcRJCMKHzrV-KA,-5.7621557999999995,-35.2513578,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 95, 84, 80, 89, 83, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 82, 70, 66, 64, 56, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 75, 74, 71, 68, 56, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 87, 77, 72, 82, 80, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 100, 83, 74, 96, 99, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,Crediamigo,ChIJUfBl3lCqswcRhtyxzOgeLeM,-5.7614846,-35.25019359999999,bank,,,,,,,
45,Banco do Brasil,ChIJl6poFaaqswcRRFapGRJFx3Y,-5.794525,-35.21902909999999,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 80, 76, 77, 81, 71, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 74, 71, 67, 65, 56, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 64, 61, 63, 69, 64, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 85, 81, 74, 73, 67, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 100, 86, 77, 84, 81, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,Bradesco Dia&Noite,ChIJn1pOVqiqswcRYEiVKbE_Ljw,-5.797486699999999,-35.2176374,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 90, 77, 69, 70, 64, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 84, 83, 76, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 75, 66, 61, 63, 56, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 77, 70, 60, 64, 69, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 97, 100, 90, 88, 82, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,Federal Savings Bank,ChIJU5MMi6mqswcRa_enSbsh1ao,-5.800069800000001,-35.2164997,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 81, 61, 61, 67, 64, 50, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 77, 69, 72, 77, 70, 50, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 77, 69, 67, 67, 58, 42, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 83, 82, 91, 89, 69, 42, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 83, 86, 92, 100, 87, 55, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,KF Viagens,ChIJ4amyWaiqswcR7EqfUsJzV4c,-5.797473,-35.21710079999999,bank,,,,,,,
49,Banco do Brasil - Agência Câmara Cascudo,ChIJjfaQSuP_sgcRFnaN7E9_p1U,-5.8279096999999975,-35.2137941,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 73, 80, 75, 65, 42, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 57, 44, 38, 41, 33, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 50, 43, 40, 46, 40, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 64, 62, 70, 63, 31, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 100, 66, 46, 52, 45, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,Caixa Econômica Federal,ChIJO4CimetVsgcRtGNJ2AKhUf8,-5.817906199999999,-35.212633600000004,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 92, 86, 72, 77, 73, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 72, 74, 62, 53, 47, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 66, 70, 69, 64, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 81, 75, 68, 74, 67, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 96, 100, 97, 94, 73, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,Federal Invest Natal,ChIJjwQkLvj_sgcRgQGbCC4l18A,-5.8133051999999985,-35.21262459999999,bank,,,,,,,
52,Bradesco,ChIJTw2kE_f_sgcRi_Ixz_T88Dw,-5.8175467,-35.212351399999996,bank,,,,,,,
